tweet_ID,tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_string,is_retweet,timestamp,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media_url,media_expanded_url,lang,virality
0,Trump once again nails it with Alfred E. Newman,0,0,14,The_Colonialist,,2019-05-11 07:55:14,,,1127119963595010048,,,753808499843342337,,,False,1557561314,Tweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,0.0
1,"RT @morgfair: EXCLUSIVE: Trump Admin Inflated Iran Intel, U.S. Officials Say https://t.co/Um1snLMjgB via @thedailybeast",24,32,86479,Orianerose,morgfair,2019-05-11 07:55:14,2019-05-11 04:27:03,1.1270675711176704e+18,1127119963230072832,,,917516344500744192,156306739.0,,True,1557561314,retweet,Twitter Web App,,,,,,,,,,,,,,,,en,24.000370032030897
2,"@599bt If so he reminds me of some of the so called ""lawyers"" Trump has working for him. Little in the brain department, a lot in the sycophantic cult follower deptartment.",0,0,1842,dawnquorus,,2019-05-11 07:55:13,,,1127119959883227136,,,3192607733,,,False,1557561313,reply,Twitter Web App,1.1267596159269478e+18,599bt,303136701.0,,,,,,,,,,,,,en,0.0
3,"RT @GOPChairwoman: The @realDonaldTrump re-election campaign has reported more female donors than any other candidate – and it’s not even close!   Trump: 10,329 Harris: 3,850 Bernie: 3,271 https://t.co/Y2Ao7WlsmS",5512,18377,263784,DirtyDiana671,GOPChairwoman,2019-05-11 07:55:13,2019-05-10 23:50:38,1.126998009542316e+18,1127119959404924929,,,922612233837752320,2353605901.0,,True,1557561313,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,5512.0696668486335
4,"Facing withering attacks accusing him of seeking foreign assistance for President Donald J. Trump's re-election campaign, Rudy Giuliani canceled a trip to Kiev in which he... https://t.co/vQaCfV5Qyg",0,0,715,TiffinOhioNews,,2019-05-11 07:55:13,,,1127119958729809920,,,3077499767,,,False,1557561313,Tweet,Facebook,,,,,,,,,,,,,,,,en,0.0
5,RT @MollyJongFast: The guy with the implanted head ferret loves to make fun of other people’s appearances.  https://t.co/rK3t2AGmby,535,3329,227235,longbottom4,MollyJongFast,2019-05-11 07:55:12,2019-05-11 00:31:41,1.1270083404106506e+18,1127119952656228354,,,197703354,14298769.0,,True,1557561312,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,535.0146500319053
6,"RT @BenjaminNorton: Venezuelans desperately need Donald Trump, John Bolton, Mike Pompeo, the CIA, and US military death machine to save them from this fun!  Look at them dancing! The Maduro regime is obviously forcing them to do it https://t.co/z0JPP9GtUq",54,114,77956,g4rg4ntu4,BenjaminNorton,2019-05-11 07:55:12,2019-05-11 01:07:32,1.1270173619141796e+18,1127119952060801024,,,2604535584,852269288.0,,True,1557561312,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,54.001462363384476
7,Trump Spent Years Posing As His Own Spokesman https://t.co/j6Egh8fM2X via @YouTube,0,0,84,bodasativa,,2019-05-11 07:55:12,,,1127119951783817216,,,24819553,,,False,1557561312,Tweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,0.0
8,"RT @ArlissRoad: Lawyers: #Huawei CFO Meng Wanzhou was unlawfully arrested and deprived of Canadian Charter rights, while U.S. President Donald Trump’s comments on the case have made a trial impossible. #HuaweiFacts https://t.co/EpMHe1jbnQ https://t.co/g9fN3cGZ6X",1,1,73,ArlissRoad,ArlissRoad,2019-05-11 07:55:11,2019-05-11 07:55:08,1.1271199356233728e+18,1127119951314210816,,,632441193,632441193.0,,True,1557561311,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,1.0136986301369864
9,RT @FirstSquawk: US SIDE GAVE CHINA THEIR BOTTOM LINE: BEIJING HAS 3 TO 4 WEEKS MORE TO REACH DEAL BEFORE TRUMP ADMIN ENACTS EVEN MORE TARIFFS -- ON ANOTHER $325B OF CHINESE IMPORTS.: BLOOMBERG EDITOR,112,141,6928,sidpathak92,FirstSquawk,2019-05-11 07:55:11,2019-05-10 17:17:48,1.1268991484043796e+18,1127119950815027200,,,80338659,3295423333.0,,True,1557561311,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,112.02035219399538
10,Imagine The Texas School's History Books Trying To Revise Trump's Presidency Like They Did Bush. https://t.co/3UtydD2Q5a,0,0,124,NoPoCor,,2019-05-11 07:55:11,,,1127119950387265537,,,1019148505103781889,,,False,1557561311,Tweet,IFTTT,,,,,,,,,,,,,,http://pbs.twimg.com/media/D6RTHbEW0AAMfS_.jpg,https://twitter.com/TomthunkitsMind/status/1127117195153113089/photo/1,en,0.0
11,Trump's North Korea diplomacy looks troubled. It may not mean war - USA TODAY https://t.co/COrm3DZm5A,0,0,7790,atlantatips,,2019-05-11 07:55:11,,,1127119949695209473,,,66877994,,,False,1557561311,Tweet,IFTTT,,,,,,,,,,,,,,,,en,0.0
12,RT @tribelaw: Another reason that waiting for the 2020 election to remove Trump is no substitute for removing him through impeachment is th…,698,776,573760,CeceRozi,tribelaw,2019-05-11 07:55:11,2019-05-11 01:15:36,1.1270193901746258e+18,1127119949418369026,,,840733298989096960,4091551984.0,,True,1557561311,quote,Twitter for iPhone,,,,1.1270142823554621e+18,kylegriffin1,32871086.0,2019-05-11 00:55:18,,,,,,,,,en,698.0013524818739
13,"I just published, ""Trump’s War on LGBTQ Targets Baby: State Department strips citizenship from two year old""  https://t.co/dYK9kINvie",0,0,5620,jfinn6511,,2019-05-11 07:55:11,,,1127119948789239808,,,958729147408310272,,,False,1557561311,Tweet,Twitter Web Client,,,,,,,,,,,,,,,,en,0.0
14,RT @AOC: If you don’t understand this man’s sign - or don’t approach it with a desire to - then you do not understand this political moment.  The same folks who said Trump was impossible in 2016 are the same ones lecturing on what’s “electable” in 2020.   Don’t buy it. Vote your values.,3206,25357,4124431,an_conversation,AOC,2019-05-11 07:55:11,2019-05-10 23:23:52,1.1269912734397645e+18,1127119948696801280,,,1122272980979970049,138203134.0,,True,1557561311,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,3206.0061479995666
15,"RT @HawaiiDelilah: Aloha Friday from the mainland, Tweeps. We need a president who will go big, be bold, &amp; do good. I am so proud to support my friend ⁦@ericswalwell⁩ for President who will do just that. He is not afraid to take on the NRA &amp; tell the truth about Trump Cc: ⁦@RepSwalwell⁩ https://t.co/BqGFQN9mQD",16,136,40752,KINGTRUMPUSLIAR,HawaiiDelilah,2019-05-11 07:55:11,2019-05-11 04:10:17,1.1270633518030397e+18,1127119948042711040,,,1082467033206337536,164554364.0,,True,1557561311,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,16.003337259521004
16,RT @PalmerReport: The real reason Donald Trump is so obsessed with tanking the U.S. economy in the name of hurting China     https://t.co/7lXmNWehgW,15,34,246030,DemonistHunter,PalmerReport,2019-05-11 07:55:11,2019-05-11 07:22:00,1.1271115998551572e+18,1127119947719516160,,,1039652035799527424,15115280.0,,True,1557561311,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,15.000138194529123
17,"RT @McFaul: To those at our conference today, reupping: Trump Told G7 Leaders That Crimea Is Russian Because Everyone Speaks Russian In Crimea https://t.co/UpXez7VXJH",284,467,374687,YesWeCan4Us,McFaul,2019-05-11 07:55:11,2019-05-11 02:39:16,1.1270404477238845e+18,1127119947614834688,,,821681572202029058,454099919.0,,True,1557561311,retweet,Twitter Web Client,,,,,,,,,,,,,,,,en,284.00124637363984
18,The solar winner of the Trump era is a Chinese company whose stock has surged 173% https://t.co/pZiDOnNuh0,0,0,280,funding_hero,,2019-05-11 07:55:10,,,1127119944292937733,,,1015946207934459904,,,False,1557561310,Tweet,IFTTT,,,,,,,,,,,,,,,,en,0.0
19,Meghan McCain’s Democratic #Socialism Meltdown - via @smedian_network  .@Medium #medium #blog #politics #government #TheView #meghanmccain #AOC #berniesanders #democrats #capitalism #populist #trump #uspolitics #uspoli #usa #america #maga #msm #resistance https://t.co/yFAag6wUMz,0,0,2758,chrisoldcorn,,2019-05-11 07:55:10,,,1127119944024506368,,,9019142,,,False,1557561310,Tweet,Smedian Network,,,,,,,,,,,,,,,,en,0.0
20,"RT @brainpicker: Remembering Maurice Sendak, who died 7 years ago today, with his darkest, most controversial, yet most hopeful children's book, touching on difficult themes like homelessness, LGBT rights, and even Trump (in 1991!) https://t.co/Vb5a9QaGCY https://t.co/CT2391K721",42,139,891848,miamigoazul,brainpicker,2019-05-11 07:55:09,2019-05-09 00:14:54,1.1262793402185523e+18,1127119942296301568,,,4832947844,9207632.0,,True,1557561309,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,42.00015585615486
21,RT @ThaiPerCaso: Cercasi sovranista #NoEuro che mi spieghi questa notizia:”La Cina diserta le aste del tesoro USA. Trump abbassa la cresta.” https://t.co/ZlyZu5C5Y9,19,27,1066,giulioenrico,ThaiPerCaso,2019-05-11 07:55:09,2019-05-11 02:56:59,1.1270449039076516e+18,1127119939666567169,,,60143566,302711876.0,,True,1557561309,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,it,19.025328330206378
22,"RT @RepJayapal: So now the Trump Administration wants to deny US citizens public housing assistance because of who they are married to?  And as a result, make 55,000 people homeless inclu many, many children? That is absurd and cruel.  https://t.co/LuKcjN5Mw0",207,404,137175,KattSchmitt,RepJayapal,2019-05-11 07:55:08,2019-05-11 01:24:08,1.1270215372765225e+18,1127119938890502145,,,135260365,8.157332909551124e+17,,True,1557561308,retweet,Twitter for iPad,,,,,,,,,,,,,,,,en,207.00294514306543
23,RT @BBCWorld: Subpoenas issued for six years of Donald Trump tax returns https://t.co/JN2CwxljOl,70,266,25040530,wmwallace9,BBCWorld,2019-05-11 07:55:08,2019-05-11 07:12:52,1.1271092993507123e+18,1127119936353067008,,,865300722320945152,742143.0,,True,1557561308,retweet,Twitter for iPad,,,,,,,,,,,,,,,,en,70.00001062277835
24,"RT @psychdr100: @EdKrassen Trump finds getting away with tax fraud ""sport? We will see how much sport he enjoys when SDNY indict him.",117,468,165071,AudeliaVasquez,psychdr100,2019-05-11 07:55:08,2019-05-11 00:31:21,1.1270082535634248e+18,1127119936176803840,,,1360770656,8.45392971381928e+17,,True,1557561308,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,117.00283514366545
25,RT @MTshwete: You can only take Trevor Noah jokes when they are about JZ and Trump?😒,263,742,91726,IAm_LeeRay2,MTshwete,2019-05-11 07:55:08,2019-05-10 23:49:27,1.126997711704744e+18,1127119935715590144,,,551369586,932192869.0,,True,1557561308,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,263.00808930946516
26,"Lawyers: #Huawei CFO Meng Wanzhou was unlawfully arrested and deprived of Canadian Charter rights, while U.S. President Donald Trump’s comments on the case have made a trial impossible. #HuaweiFacts https://t.co/EpMHe1jbnQ https://t.co/g9fN3cGZ6X",1,1,73,ArlissRoad,,2019-05-11 07:55:08,,,1127119935623372800,,,632441193,,,False,1557561308,Tweet,Twitter for Android,,,,,,,,,,,,,,,,en,1.0136986301369864
27,"RT @BernieSanders: As the son of an immigrant, I am appalled that Donald Trump laughed about shooting immigrants. The rise of domestic terr…",5189,5892,145084,treelinespirit,BernieSanders,2019-05-11 07:55:08,2019-05-11 00:40:32,1.127010564201431e+18,1127119935497428993,,,41498744,216776631.0,,True,1557561308,quote,Twitter Web Client,,,,1.1262943334293545e+18,JordanUhl,68752979.0,2019-05-09 01:14:29,,,,,,,,,en,5189.040610956412
28,"RT @TheDailyShow: “Julius Malema talks about genocide like he’s remodeling his kitchen.”  If you think Trump is bad, meet South Africa’s anti-establishment politician. Full piece: https://t.co/vGpwtWoaZb https://t.co/A8SRsRSLAR",4548,8609,7894654,SekeloTimelly,TheDailyShow,2019-05-11 07:55:08,2019-05-10 14:30:18,1.1268569977674588e+18,1127119935031975937,,,120162828,158414847.0,,True,1557561308,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,4548.001090484776
29,"RT @WalshFreedom: So the guy who's been married 3 times, is a serial adulterer, had sex with a porn star 4 months after his wife gave birth, talked publicly about how hot his daughter is, &amp; bragged about grabbing women by their vaginas, is calling Joe Biden creepy?  Really? https://t.co/lBzuaGgwFr",7066,25969,163644,bettyneen,WalshFreedom,2019-05-11 07:55:07,2019-05-10 15:51:26,1.1268774154883277e+18,1127119931265495040,,,549352884,236487888.0,,True,1557561307,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,en,7066.158692038816
30,"RT @krassenstein: BREAKING: Thanks to Trump's National Emergency, the Pentagon will take $600 MILLION from a fund used to bolster US Security forces in Afghanistan, who are currently struggling to hold back the Taliban.  This money will build just 80 Miles of useless wall.  Wake up America!",746,1539,693418,MariaMesmerized,krassenstein,2019-05-11 07:55:07,2019-05-11 03:45:00,1.1270569877856502e+18,1127119930720231425,,,2329369573,133938408.0,,True,1557561307,retweet,Twitter Web App,,,,,,,,,,,,,,,,en,746.0022194405107
31,RT @TheRickWilson: To be clear:  We're borrowing billions from China to subsidize farmers who are losing billions in a trade war that that'…,2043,2070,109439,sourcecheckorg,TheRickWilson,2019-05-11 07:55:06,2019-05-10 12:27:10,1.1268260102326682e+18,1127119928472023041,,,1098539272422998017,19084896.0,,True,1557561306,quote,Twitter for Android,,,,1.0217686353444741e+18,AaronBlake,136300373.0,2018-07-24 14:46:40,,,,,,,,,en,2043.0189146465154
32,@Trump_Joker_12 ㅇㄴ 같은 서버 하나 만들자,0,0,165,Shu_OwOv,,2019-05-11 07:55:06,,,1127119927880470528,,,1105812199161786368,,,False,1557561306,reply,Twitter for Android,1.1271196925047357e+18,Trump_Joker_12,1.0091876738508268e+18,,,,,,,,,,,,,ko,0.0
33,RT @tumisole: Julius is Donald Trump of Mzansi?   Ya neh!   Call it what you want but Trevor perpetuates the Afriforum fear-mongering that…,4548,8609,7894654,MdayiMvuleni,tumisole,2019-05-11 07:55:06,2019-05-11 04:53:54,1.1270743260947128e+18,1127119927603810304,,,1042688390964097024,171977969.0,,True,1557561306,quote,Twitter for Android,,,,1.1268569977674588e+18,TheDailyShow,158414847.0,2019-05-10 14:30:18,,,,,,,,,en,4548.001090484776
34,"US-China trade talks end with no deal, but Trump puts faith in 'strong' relationship with Xi Talks between U.S. and Chinese negotiators ended Friday without a trade pact, prompting the Trump administration to possibly further expand its trade war with Beijing and tax its rem…",0,0,147,Channel__News_,,2019-05-11 07:55:06,,,1127119926609756160,,,965871548186939392,,,False,1557561306,Tweet,IFTTT,,,,,,,,,,,,,,,,en,0.0
35,RT @AOC: If you don’t understand this man’s sign - or don’t approach it with a desire to - then you do not understand this political moment.  The same folks who said Trump was impossible in 2016 are the same ones lecturing on what’s “electable” in 2020.   Don’t buy it. Vote your values.,3206,25357,4124431,SamGrady3000,AOC,2019-05-11 07:55:05,2019-05-10 23:23:52,1.1269912734397645e+18,1127119923422035968,,,4843805399,138203134.0,,True,1557561305,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,3206.0061479995666
36,Trump’tan yine yaptırım açıklaması https://t.co/CuHnAMM6qr,0,0,32217,Dogruhaber,,2019-05-11 07:55:05,,,1127119922788745216,,,161805237,,,False,1557561305,Tweet,Google,,,,,,,,,,,,,,,,tr,0.0
37,RT @essenviews: Mitch McConnell Virtually Begs Democrats To Stop Investigating Trump:  “I think the case is closed. I think the controversy has been concluded...I think it’s over. I think it’s time to let it go and move on.” https://t.co/DWr1thQPGp,507,694,134829,Jay78151371,essenviews,2019-05-11 07:55:04,2019-05-10 14:54:48,1.1268631626559529e+18,1127119922235105281,,,1098239541448708098,2998864022.0,,True,1557561304,retweet,Twitter Web App,,,,,,,,,,,,,,,,en,507.0051472606042
38,"RT @AOC: About an hour ago, I was walking out of my office for the day.  There was a man what I believe was his teenage son hanging a small sign they made outside my office (we let people leave well wishes on our wall).  Astonishingly, his sign read: “Trump supporters for Ocasio-Cortez.” https://t.co/IjVKbvetEI",6440,43867,4124431,KymNorton55,AOC,2019-05-11 07:55:04,2019-05-10 23:00:47,1.1269854622609367e+18,1127119921173782528,,,967622132636119041,138203134.0,,True,1557561304,retweet,Twitter Web App,,,,,,,,,,,,,,,,en,6440.010635891351
39,"RT @krassenstein: If Donald Trump Jr. Does not appear for his Congressional subpoena, Senator Blumenthal says he’s prepared to send him to prison.  LOCK HIM UP! LOCK HIM UP! LOCK HIM UP! LOCK HIM UP! LOCK HIM UP!",298,1327,693418,corinneresister,krassenstein,2019-05-11 07:55:04,2019-05-11 05:57:00,1.1270902064174776e+18,1127119919919849472,,,540166083,133938408.0,,True,1557561304,retweet,Twitter for Android,,,,,,,,,,,,,,,,en,298.00191370861444
40,@ElieNYC Dear Fred Trump - 72 years ago?  PULL OUT!!!!,0,0,0,WWoodUK,,2019-05-11 07:55:04,,,1127119918611279872,,,790517148493971457,,,False,1557561304,reply,Twitter Web Client,1.1269670433733755e+18,ElieNYC,40353407.0,,,,,,,,,,,,,en,
41,"I’m hoping #TheResistance will boycott Trump’s 4th of July campaign rally, paid for by taxpayers. #BoycottJuly4Rally https://t.co/yB1wnc2jX4",0,1,4604,onecooldeb,,2019-05-11 07:55:04,,,1127119918539784193,,,221266383,,,False,1557561304,quote,Twitter for iPhone,,,,1.1271038474013123e+18,farrokh_balsara,14709135.0,2019-05-11 06:51:12,,Burlingame,"Burlingame, CA",United States,US,,,,en,0.00021720243266724586
42,Trump Laughed At Call To 'Shoot' Immigrants. It's No Joke To Militias At The Border. || via: HuffPostPol https://t.co/Xhjp42w9Fn,0,0,116313,SafetyPinDaily,,2019-05-11 07:55:03,,,1127119916065280000,,,449600949,,,False,1557561303,Tweet,Hootsuite Inc.,,,,,,,,,,,,,,,,en,0.0
43,"Trump, negoziati con Cina aumenteranno https://t.co/kvBtmyVxrg https://t.co/ptJqpc4pfw",0,0,11028,GiornaledPuglia,,2019-05-11 07:55:03,,,1127119914572046336,,,113584953,,,False,1557561303,Tweet,dlvr.it,,,,,,,,,,,,,,http://pbs.twimg.com/media/D6RVlscUwAEqAW1.png,https://twitter.com/GiornaledPuglia/status/1127119914572046336/photo/1,it,0.0
